Date,Open,High,Low,Close,Adj_Close,Volume
"Apr 5, 2011",1174.26,1174.26,1174.26,1174.26,971.95,8941
"Apr 4, 2011",1174.26,1174.26,1174.26,1174.26,971.95,8941
"Apr 1, 2011",1174.26,1174.26,1174.26,1174.26,971.95,8941
"Mar 31, 2011",1174.26,1174.26,1174.26,1174.26,971.95,8941
"Mar 30, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"Mar 29, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"Mar 28, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"Mar 25, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"Mar 24, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"Mar 23, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 22, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 21, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 18, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 17, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 16, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 15, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 14, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 11, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 10, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 9, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 8, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 7, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 4, 2011",1118.34,1118.34,1118.34,1118.34,925.66,558864
"Mar 3, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Mar 2, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Mar 1, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Feb 28, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Feb 25, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Feb 24, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 23, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 22, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 21, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 18, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 17, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 16, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 14, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 11, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 10, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 9, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 8, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 7, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 4, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 2, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Feb 1, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 31, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 28, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 27, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 26, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 25, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 24, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 21, 2011",972.96,972.96,972.96,972.96,805.33,4470
"Jan 20, 2011",950.59,950.59,950.59,950.59,786.81,35767
"Jan 19, 2011",950.59,950.59,950.59,950.59,786.81,35767
"Jan 18, 2011",950.59,950.59,950.59,950.59,786.81,35767
"Jan 17, 2011",950.59,950.59,950.59,950.59,786.81,35767
"Jan 14, 2011",950.59,950.59,950.59,950.59,786.81,35767
"Jan 13, 2011",950.59,950.59,950.59,950.59,786.81,35767
"Jan 12, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
